,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
167,0.68931973,0.07302847,144.0,6,session_T,22,2,001-2014,MDM_logeuclid
168,0.90183675,0.37293497,144.0,7,session_E,22,2,001-2014,MDM_logeuclid
169,0.76659864,0.08885417,144.0,7,session_T,22,2,001-2014,MDM_logeuclid
170,0.9942177,0.079684496,144.0,8,session_E,22,2,001-2014,MDM_logeuclid
171,0.99122447,0.082076505,144.0,8,session_T,22,2,001-2014,MDM_logeuclid
172,0.92959183,0.07941346,144.0,9,session_E,22,2,001-2014,MDM_logeuclid
173,0.78789115,0.08707905,144.0,9,session_T,22,2,001-2014,MDM_logeuclid
174,0.7625,0.033453416,40.0,1,session_0,16,1,Alexandre Motor Imagery,MDM_logeuclid
175,0.8375,0.015378523,40.0,2,session_0,16,1,Alexandre Motor Imagery,MDM_logeuclid
176,0.9125,0.0158247,40.0,3,session_0,16,1,Alexandre Motor Imagery,MDM_logeuclid
177,0.7375,0.016320467,40.0,4,session_0,16,1,Alexandre Motor Imagery,MDM_logeuclid
178,0.65,0.015557623,40.0,5,session_0,16,1,Alexandre Motor Imagery,MDM_logeuclid
179,0.3,0.03070035,40.0,6,session_0,16,1,Alexandre Motor Imagery,MDM_logeuclid
180,1.0,0.015587759,40.0,7,session_0,16,1,Alexandre Motor Imagery,MDM_logeuclid
181,0.925,0.032023717,40.0,8,session_0,16,1,Alexandre Motor Imagery,MDM_logeuclid
182,0.9607483,0.19985738,144.0,1,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
183,0.9635374,0.17223349,144.0,1,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
184,0.6551701,0.22935525,144.0,2,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
185,0.68863946,0.21690544,144.0,2,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
186,0.9980272,0.15324998,144.0,3,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
187,0.99142855,0.17691985,144.0,3,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
188,0.9130612,0.14799014,144.0,4,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
189,0.8317007,0.19008747,144.0,4,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
190,0.67,0.38091025,144.0,5,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
191,0.6341497,0.1852003,144.0,5,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
192,0.8141497,0.31568924,144.0,6,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
193,0.8393197,0.148527,144.0,6,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
194,0.990068,0.15779023,144.0,7,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
195,0.8742177,0.4396258,144.0,7,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
196,0.99707484,0.16148391,144.0,8,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
197,0.9961905,0.17784329,144.0,8,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
198,0.97414964,0.2704621,144.0,9,session_E,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
199,0.88863945,0.21628885,144.0,9,session_T,22,2,001-2014,TangentSpace_logeuclid_LogisticRegression()
200,0.8375,0.031230737,40.0,1,session_0,16,1,Alexandre Motor Imagery,TangentSpace_logeuclid_LogisticRegression()
201,0.875,0.027346183,40.0,2,session_0,16,1,Alexandre Motor Imagery,TangentSpace_logeuclid_LogisticRegression()
202,0.925,0.062430095,40.0,3,session_0,16,1,Alexandre Motor Imagery,TangentSpace_logeuclid_LogisticRegression()
203,0.925,0.028829146,40.0,4,session_0,16,1,Alexandre Motor Imagery,TangentSpace_logeuclid_LogisticRegression()
204,0.8875,0.07048178,40.0,5,session_0,16,1,Alexandre Motor Imagery,TangentSpace_logeuclid_LogisticRegression()
205,0.4125,0.028341437,40.0,6,session_0,16,1,Alexandre Motor Imagery,TangentSpace_logeuclid_LogisticRegression()
206,1.0,0.058754347,40.0,7,session_0,16,1,Alexandre Motor Imagery,TangentSpace_logeuclid_LogisticRegression()
207,0.975,0.027757406,40.0,8,session_0,16,1,Alexandre Motor Imagery,TangentSpace_logeuclid_LogisticRegression()
208,0.9419048,0.6447625,144.0,1,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
209,0.95013607,0.3642115,144.0,1,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
210,0.58959186,0.6955503,144.0,2,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
211,0.5547619,0.2882422,144.0,2,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
212,0.99714285,0.4465643,144.0,3,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
213,0.9961905,0.799911,144.0,3,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
214,0.91183674,0.5805473,144.0,4,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
215,0.84768707,0.9076181,144.0,4,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
216,0.6202041,0.3433214,144.0,5,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
217,0.52619046,0.34475845,144.0,5,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
218,0.71217686,0.27474242,144.0,6,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
219,0.8142177,0.34040108,144.0,6,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
220,0.95714283,0.47021955,144.0,7,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
221,0.86360544,0.38390255,144.0,7,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
222,0.9961905,0.29890543,144.0,8,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
223,0.99693877,0.8980575,144.0,8,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
224,0.964966,0.47547102,144.0,9,session_E,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
225,0.87857145,0.3473274,144.0,9,session_T,22,2,001-2014,TangentSpace_riemann_SVC(C=1)
226,0.8,0.07036696,40.0,1,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_SVC(C=1)
227,0.925,0.09585123,40.0,2,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_SVC(C=1)
228,0.9,0.099472426,40.0,3,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_SVC(C=1)
229,0.7625,0.063582756,40.0,4,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_SVC(C=1)
230,0.7,0.16371122,40.0,5,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_SVC(C=1)
231,0.45,0.05917249,40.0,6,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_SVC(C=1)
232,1.0,0.121164754,40.0,7,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_SVC(C=1)
233,0.9875,0.05549531,40.0,8,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_SVC(C=1)
234,0.9539456,0.12356329,144.0,1,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
235,0.9533333,0.41705823,144.0,1,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
236,0.57462585,0.1533452,144.0,2,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
237,0.50673467,0.12434258,144.0,2,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
238,0.9929932,0.12570782,144.0,3,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
